id,solvent,d_d,d_p,d_h
1,"1,1,2,2-Tetrachloroethane",18.8,5.1,5.3
2,"1,1,2-Trichloroethane",18.2,5.3,6.8
3,"1,1-Dimethyl Hydrazine",15.3,5.9,11
4,"1,2-Dibromo-3-Chloropropane",19.3,7.2,5.6
5,"1,2-Diphenylhydrazine",20.4,5.4,8.8
6,"1,3-Butadiene",14.8,2.8,5.6
7,"1,3-Dichloropropene",17.4,6.6,4.2
8,"1,3-Propane Sultone",18.4,16,9
9,"2,2,4-Trimethylpentane",14.1,0,0
10,"2,3,7,8-Tetrachlorodibenzo-p-Dioxin",21.4,4.5,4.7
11,"2,4,6-Trichlorophenol",20.3,5.1,10.8
12,"2,4-D, Salts And Esters",19.6,8.4,11.2
13,"2,4-Dinitrophenol",20.4,12.5,11.4
14,"2,4-Dinitrotoluene",20,13.1,4.9
15,2-Acetylaminofluorene,20.6,9.5,6.6
16,2-Nitropropane,16.2,12.1,4.1
17,"3,3-Dichlorobenzidene",21.5,6.7,10.5
18,"3,3-Dimethoxybenzidine",20.6,7.3,12
19,"3,3'-Dimethyl Benzidine",20.4,5.3,10
20,"4,4-Methylene Bis(2-Chloroaniline)",21.2,6.5,10.2
21,4-Nitrobiphenyl,19.9,6.2,4.2
22,4-Nitrophenol,20,14.5,14.2
23,Acetaldehyde,14.7,12.5,7.9
24,Acetamide,17.3,18.7,19.3
25,Acetonitrile,15.3,18,6.1
26,Acetophenone,18.8,9,4
27,Acrolein,15.5,10,8.6
28,Acrylamide,15.8,12.1,12.8
29,Acrylic Acid,16.6,6.4,10
30,Acrylonitrile,16,12.8,6.8
31,Allyl Chloride,17,6.2,2.3
32,Aniline,20.1,5.8,11.2
33,Benzidine,21,6.2,11.5
34,Benzotrichloride,19.4,3.2,3.2
35,Benzyl Chloride,18.8,7.1,2.6
36,Biphenyl,19.7,1,2
37,Bis(Chloromethyl)Ether,17.2,8.2,7.6
38,Bromoform,20,5,7
39,Captan,20.4,6.2,4.1
40,Carbaryl,20,8.3,8.1
